what are bigos?	[u'Stew']	[u'Polish food']
who inspired obama?	[u'Saul Alinsky', u'Nipsey Russell']	[u'Countdown of 10 Amazing Moments from the Year 2011: No. 4 the Martin Luther King Jr. Memorial', u"2016: Obama's America", u'Senator', u'Illinois', u'United States of America', u'United States Senator', u'St. Francis of Assisi Catholic School', u'There are patriots who opposed the war in Iraq and there are patriots who supported the war in Iraq. We are one people, all of us pledging allegiance to the stars and stripes, all of us defending the United States of America.', u'Mark Okoth Obama Ndesandjo', u'United States of America', u'Janet Napolitano', u'Eric Shinseki', u'Steven Chu', u'Ron Kirk', u'Robert Gibbs', u'Hillary Clinton', u'Tom Vilsack', u'Timothy Geithner', u'William M. Daley', u'John Kerry', u'Anthony Foxx', u'Seth Harris', u'Ken Salazar', u'Chuck Hagel', u'Rob Nabors', u'Dan Rooney', u'Matt Damon', u'Illinois', u'United States Senate', u'Illinois Senate', u'Michelle Obama', u'Phillip Berg', u'Treasurer of the United States', u'Dallas Paul Tonsager', u'Tom Vilsack', u'Thomas A. Shannon, Jr.', u'Peter R. Orszag', u'William J. Lynn III', u'David B. Sandalow', u'Robert O. Blake, Jr.', u'J. Randolph Babbitt', u'Vilma Socorro Mart\xednez', u'Rob Nabors', u'Jon Huntsman, Jr.', u'Scott Blake Harris', u'Steven E. Koonin', u'Jeffrey D. Feltman', u'Peter M. Rogoff', u'William J. Burns', u'Warren F. Miller, Jr.', u'Evan Jay Segal', u'James Warren Miller', u'Stephen Alan Owens', u'Deborah A. P. Hersman', u'Sam D. Hamilton', u'Scott H. DeLisi', u'James B. Warlick Jr.', u'\u201cWhat we do today does not always secure reasonable hope for tomorrow. Only this time\u2013\u2013with the fact of Barack Obama\u2019s presidential nomination\u2013\u2013our country had overcome the odds in a profoundly miraculous way. Like millions\u2013\u2013literally, millions\u2013\u2013of others, I was privileged to bear witness to a gift of history more than 200 years in the making: it was and it is a moment worthy of joy\u2019s sweet and bitter tears. \u201d from blog Why I Cried When Barack Obama Received the Democratic Nomination for President of the United States']
what is new france?	[u'North America']	[u'French Language', u'France', u'Versailles', u'LA BOISELLE', u'Indiana', u'France', u'Placenames of France', u'Impressionism', u'Paris', u'France', u'Avant-garde gambits, 1888-1893', u'Governing France', u'Impressionism', u'French Cathedrals', u'Fighting France', u'Nineteenth-century painting', u'French Republic', u'Audrey Tautou: Her Coco Chanel biopic looks good, but has she bid adieu to America?', u"Michael Jackson's 'This Is It' grosses $7.4 million in U.S. on opening day", u'Rama Yade', u'Jean-Pierre Raffarin', u'President of France', u'National Assembly', u'Senate', u'French Parliament', u'Euro', u'Unitary state', u'Constitutional republic', u'Germany', u'Italy', u'Spain', u'Switzerland', u'United Kingdom', u'Atlantic Ocean', u'Mediterranean Sea', u'Andorra', u'French Alps', u'Palace of Europe', u'Italian War of 1551\u201359', u'Italian War of 1521\u201326', u'French Revolution', u'Italian War of 1542\u201346', u'French Revolution of 1848', u'Basque conflict', u'Europe', u'Pacific Ocean', u'Western Europe', u'Mediterranean Sea', u'Triple Entente', u'United Nations', u'La France', u"L'Intransigeant", u'Sud-Ouest', u'Haratch', u"L'\xc9quipe", u'Pr\xe9sent', u'Francium', u'France', u'French Language', u'R\xe9union Creole French Language', u'Basque Language', u'Catalan language', u'Tahitian Language', u'Esperanto Language', u'Corsican Language', u'Occitan language', u'Proven\xe7al Language', u'Guianese Creole French Language', u'Saint-Ex', u'IMSM', u'French Socialist Party', u'Linkao', u'Possibilism', u'Arise the Republic', u'French Socialist Party', u'French Pirate Party', u'Walwari', u"French Workers' Party", u'Entrevue', u'Backchich.info', u'M\xe9diapart', u'Protecp\xe9o', u'Forsane Alizza', u'Anaxago', u'France national baseball team', u'France national speedway team', u'ASVEL Basket', u'Limoges CSP', u'French Luge Team', u'Tarbes Gespe Bigorre', u'French region', u'French region', u'French Language', u'Kronenbourg 1664', u'Wendelbrau', u"Castelain Ch'ti Ambr\xe9e", u'Fischer Desperados', u'INSEE', u'Tracfin', u'ASSEDIC', u'SLIR', u"Comit\xe9 Consultatif National d'Ethique", u'National Assembly', u'Senate', u'G7 summits', u'French franc', u'French Polynesia', u'French Guiana', u'French Bulldog', u'French Polynesia', u'French Guiana', u'2012 Summer Olympics', u'1900 Summer Olympics', u'2010 Winter Olympics', u'2000 Summer Olympics', u'2002 Winter Olympics', u'1936 Summer Olympics', u'1896 Summer Olympics', u'2008 Summer Olympics', u'1952 Summer Olympics', u'1924 Summer Olympics', u'1948 Winter Olympics', u'Government of France', u'French Guiana', u'Kauto Star', u"Big Buck's", u'Europe', u'Western Europe']
who plays voldemort?	[u'Richard Bremmer', u'Frank Dillane', u'Ralph Fiennes', u'Hero Fiennes-Tiffin', u'Christian Coulson']	[u'Ralph Fiennes', u'J.K. Rowling: A Year in the Life', u'Harry Potter and the Order of the Phoenix', u'Harry Potter and the Goblet of Fire', u'Harry Potter and the Half-Blood Prince', u'Peter Pettigrew']
who is ruling libya?	[u'Mohammed Magariaf']	[u'Libya, Libya, Libya', u'Euro']
who founded the kkk?	[u'Albert Pike', u'David Duke', u'William Joseph Simmons']	[]
who founded the afl?	[u'Bud Adams']	[u'Melbourne University Football Club', u'North Melbourne Football Club', u'Richmond Football Club', u'Fremantle Football Club', u'Melbourne Football Club', u'West Coast Eagles', u'Port Adelaide Football Club', u'South Barwon Football Club', u'Oakland Raiders', u'Buffalo Bills', u'Denver Broncos', u'Cincinnati Bengals', u'Miami Dolphins', u'Houston Oilers', u'Boston Patriots', u'Dallas Texans', u'New York Titans', u'Los Angeles Chargers', u'Iowa Barnstormers', u'New York Dragons', u'Iowa Barnstormers']
who is jimmy savile?	[u'Presenter']	[]
what was john tyler?	[u'President of the United States']	[u'United States of America', u'President of the United States']
who won fa cup 1976?	[u'Manchester United F.C.']	[]
what fma stands for?	[u'FullMetal Alchemist']	[u'CAPTCHA', u'CAPTCHAs', u'VidoopSecure', u"Newton's laws of motion"]
when tupac was shot?	[u'Tupac 1994 assault']	[u'James A. Garfield', u'Charles J. Guiteau', u'James A. Garfield assassination', u'Washington, D.C.', u'Assassination', u'James A. Garfield', u'Governor', u'Alabama', u'Governor of Alabama', u'Democratic Party', u'1998-09-13', u'Montgomery', u'1919-08-25', u'Clio', u'Lawyer', u'Politician', u'Baptists', u'Methodism', u'George Wallace presidential campaign, 1968', u"George Wallace's 1963 Inaugural Address", u'Salli Richardson', u'Shakurspeare', u"Gridlock'd", u'Nu-Mixx Klazzics', u"Strugglin'", u"Representin' 93", u'Skandalouz', u'Thug4Life', u"2Pac's Supermix", u'Violent...', u'Skandalouz', u'Hellrazor', u"2Pac's Supermix", u'M.O.B.', u'Killuminati', u"Lil'Homies", u'Lil`Homies', u"2Pac's Supermix", u'Sway/Interlude', u'Lastonesleft', u'Breathin', u'Breathin', u'Slip-N-Slide', u'187', u'M.O.B.', u'Tamalpais High School', u'United States of America', u'Los Angeles', u'Manhattan', u'Las Vegas', u'Marin City', u'Sean Combs', u'TuPac']
who was kate chopin?	[u'Writer']	[]
when did annie open?	[u'Annie (1977 original Broadway cast)']	[u'United States of America']
who was vp for nixon?	[u'Spiro Agnew', u'Gerald Ford']	[u'Sicko', u'Gasland', u'President', u'Vice President', u'Senator', u'United States of America', u'Fullerton Union High School', u"A man who has never lost himself in a cause bigger than himself has missed one of life's mountaintop experiences. Only in losing himself does he find himself. Only then does he discover all the latent strengths he never knew he had and which otherwise would have remained dormant.", u'Let historians not record that when America was the most powerful nation in the world we passed on the other side of the road and allowed the last hopes for peace and freedom of millions of people to be suffocated by the forces of totalitarianism. And so tonightto you, the great silent majority of my fellow AmericansI ask for your support.', u'Arthur Nixon', u'Harold Nixon', u'Edward Nixon', u'Donald Nixon', u'Pat Nixon', u'United States of America', u'William E. Simon', u'John Connally', u'George P. Shultz', u'James R. Schlesinger', u'David Gergen', u'John Dean', u'William P. Rogers', u'David M. Kennedy', u'Charles Colson', u'Claude Brinegar', u'Caspar Weinberger', u'Elliot Richardson', u'Henry Kissinger', u'Robert Bork', u'H. R. Haldeman', u'George W. Romney', u'Melvin R. Laird', u'Jesse Leonard Steinfeld', u'Robert Mayo', u'John A. Volpe', u'Roy Ash', u'Ron Ziegler', u'James Thomas Lynn', u'California', u'California\u2019s 12th congressional district', u'Richard Nixon 1973 presidential inauguration', u'Richard Nixon 1969 presidential inauguration', u'William Rehnquist', u'Lewis F. Powell, Jr.', u'Warren E. Burger', u'Harry Blackmun', u'Watergate scandal', u'John Dean', u'John Ehrlichman', u'Kenneth Parkinson', u'Al Gore', u'Gerald Ford', u'Dan Quayle', u'Walter Mondale', u'Theodore Roosevelt', u'Richard Nixon', u'Charles Curtis', u'Dick Cheney', u'Joe Biden', u'George Clinton', u'Daniel Scioli', u'Juan Per\xf3n']
what do see in paris?	[u'Mus\xe9e Maillol', u'Palace of Versailles', u'Eiffel Tower', u'\xcele de la Cit\xe9', u'Caf\xe9 Volpini', u'Notre Dame de Paris', u'Folies Berg\xe8re', u'Arc de Triomphe', u'Basilica of the Sacr\xe9 C\u0153ur', u'Panth\xe9on, Paris']	[u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u'Leviathan', u"Traite\u0301 de l'homme =", u"Hobbes's Leviathan", u'O telese', u'Scritti teologici', u'Stroke', u'England', u'United Kingdom', u'Philosopher', u'The obligation of subjects to the sovereign is understood to last as long, and no longer, than the power lasteth by which he is able to protect them.', u'The secret thoughts of a man run over all things, holy, profane, clean, obscene, grave, and light, without shame or blame.', u'Anglicanism', u'In contrast to the position later taken by Locke, Hobbes stated that the supreme power was not subject to the contract.', u'In his  most frequently quoted phrase he expressed the view that under such conditions, the life of man is "" nasty, brutish and short"".', u'For those who followed Aristotle, things only moved when motion was induced by a mover, i.e. God.', u'When these conditions did not prevail, as in times of civil disorder, individuals had to make a moral choice about whether to obey the law of the land.', u'Law, said Hobbes, was not natural but the embodiment of the will of the sovereign power.', u'Paris', u'Ulise', u'Darlinghissima', u'Paris', u'Thrones, Dominations', u'Paris, France', u'Paris', u"Paris, je t'aime", u'Paris', u'Paradis Latin', u'Swiss Cultural Center', u'Stade de France', u'Paris Bourse', u'Louvre Pyramid', u"Mus\xe9um national d'histoire naturelle", u"Mus\xe9e National d'Art Moderne", u'Louvre Palace', u'\xc9lys\xe9e Palace', u'Latin Quarter, Paris', u'Louvre \u2013 Rivoli', u'Port du Louvre', u'Museum of French History', u'Liberation of Paris', u'Treaty of Versailles', u'2013 French Open', u'UEFA Euro 2016', u"1956 FIVB Men's Volleyball World Championship", u"1986 FIVB Men's Volleyball World Championship", u'Miss Europe 1931', u'Miss Europe 1930', u'Margaret of France, Queen of England', u'Louis VI of France', u'Louis X of France', u'Louis VIII of France', u'Louis VII of France', u'Charles III, Prince of Monaco', u'Central European Time', u'Louis IX of France', u'Louis XII of France', u'Al-Hayat', u'Haratch', u'La Tribune', u"L'Aurore", u'Parisii', u'Petit Palais', u'Disneyland Park', u"Mus\xe9e d'Orsay", u'The Louvre', u'Panth\xe9on, Paris', u'Eiffel Tower', u'Palace of Versailles', u'Mus\xe9e Maillol', u'Caf\xe9 Volpini', u'Parc Ast\xe9rix', u'Disneyland Paris', u'H\xf4tel Ritz Paris', u'DD4D', u"Mus\xe9e d'Orsay", u"Mus\xe9e d'Histoire Contemporaine", u"Od\xe9on-Th\xe9\xe2tre de l'Europe", u'Pierre-and-Marie-Curie University', u'University of Paris-Sud', u'France', u'Sicko', u'Inglourious Basterds', u'Yamakasi', u'Festival in France', u"Paris, je t'aime", u'Inside Paris', u'Passport to Paris', u'Breathless', u'Americans in Paris', u'Paris Basket Racing', u'Paris Saint-Germain F.C.', u'Paris Handball', u'Stade Fran\xe7ais Paris', u'Paris Volley', u'11th arrondissement of Paris', u'6th arrondissement of Paris', u'15th arrondissement of Paris', u'9th arrondissement of Paris', u'14th arrondissement of Paris', u'Latin Quarter, Paris', u'P\xe1rizs', u'The Louvre', u'National Library of France', u'1900 Summer Olympics', u'1924 Summer Olympics', u'Paris M\xe9tro', u'France']
where is kansas city?	[u'Platte County']	[u'Wyandotte County']
what does ringo sing?	[u'Yellow Submarine', u'Pinocchio Medley (Do You See the Noses Growing?): Desolation Theme / When You Wish Upon a Star', u'Good Night', u'I Shall Be Released', u'Roll Over Beethoven', u"Tommy's Holiday Camp", u'Sweet Little Sixteen', u'California Calling', u"Honey Don't", u'Don\u2019t Pass Me By']	[u'SNL - 10.8', u'radioIO shuffle', u'1Club.FM: 70s (Pop)', u'radioIO 70s POP', u'1Club.FM: 70s (Lite)', u'181-greatoldies', u'Beatles-A-Rama', u'Beaucoups of Blues', u'Snookeroo', u'Beaucoups of Blues', u'Tour 2003', u'Wings', u'Wings', u'Liverpool', u'King of Broken Hearts', u'Snookeroo', u'Snookeroo', u'Snookeroo', u'Snookeroo', u'Boys', u'Boys', u'Beaucoups of Blues', u'Waiting', u'King of Broken Hearts', u'Coochy Coochy', u'Boys', u'Occapella', u'Oo-Wee', u'Boys', u'Anthem', u'Beaucoups of Blues', u'Beaucoups of Blues', u'Occapella', u'Oo-Wee', u'Hard Times', u'King of Broken Hearts', u'Beaucoups of Blues', u'Dream', u'Oo-Wee', u'Pasodobles', u'Runaways', u'Wings', u'Waiting', u'Organ', u'Clarinet', u'Drums', u'Guitar', u'mandolin', u'Keyboard', u'Piano', u'Flute', u'Percussion', u'harmonica', u'1940-07-07', u'1.68', u'England', u'Liverpool', u'Singer-songwriter', u'Composer', u'Musician', u'Songwriter', u'4150 Starr', u'Vegetarian food']
who is michael buble?	[u'Singer', u'Actor', u'Singer-songwriter']	[u'Martha Stewart, Michael Bubl\xe9']
who owns google 2012?	[u'Larry Page', u'Sergey Brin']	[u'Google Czech Republic s.r.o.']
where is shakira from?	[u'Colombia']	[u'EYE97', u'WYUU', u'WTGB', u"'Love in the Time of Cholera' is in your extended network!", u'1990', u'Rabiosa', u'Love in the Time of Cholera', u'Waka Waka: This Time for Africa', u'Antolog\xeda', u'Dance-pop', u'Synthpop', u'http://www.shakira.com/', u'Rabiosa', u'Rabiosa', u'Rabiosa', u'Rabiosa', u'Antologia', u'Waka Waka (This Time for Africa)', u'Suete', u'Waka Waka (This Time for Africa) (K-mix)', u'P\xe9s Descal\xe7os (Portugu\xe9s)', u'Rabiosa', u'Waka Waka (Esto es \xc1frica) (K-mix)', u'Waka Waka (Esto Es Africa)', u'Waka Waka (This Time for Africa)', u'Waka Waka (This Time for Africa)', u'Waka Waka (This Time for Africa)', u'Waka Waka (This Time for Africa)', u'Waka Waka (Esto es \xc1frica)', u'Waka Waka (This Time for Africa)', u'Antologia', u'Antologia', u'Devoci\xf3n', u'Devoci\xf3n', u'Devoci\xf3n', u'1968', u'Waka Waka (This Time for Africa)', u'University of California', u'University of California, Los Angeles', u'White Latin American', u'English Language', u'Spanish Language', u'Portuguese Language', u'Colombia', u'Los Angeles', u'Barranquilla', u'Catholicism', u'Domestic partnership', u'Spanish Language']
where is mali located?	[u'Africa', u'West Africa']	[u'Aqmar Mosque', u'Sovereign state', u'Sundiata', u'ml-lgflag.gif', u'Dioncounda Traor\xe9', u'West African CFA franc', u'Republic', u'Unitary state', u'Senegal', u'Burkina Faso', u'Niger', u'Algeria', u'Mauritania', u'Guinea', u'Africa', u'West Africa', u'K\xe9n\xe9dougou Kingdom', u'Nay\xe9, Senegal', u'African, Caribbean & Pacific Group of States', u'Economic Community of West African States', u"L'Essor", u'Les \xc9chos', u'Mali', u'French Language', u'Bambara language', u'Motherland', u'Mali-Folkecenter', u'Afriq-Power', u'Union for the Republic and Democracy', u'Convergences 2007', u'of', u'Region of Mali', u'Region of Mali', u'Malian', u'French Language', u'Africa', u'Azawakh', u'Dioncounda Traor\xe9']
who plays john connor?	[u'Edward Furlong', u'Christian Bale', u'Nick Stahl']	[u'Terminator 3: Rise of the Machines', u'Cameron', u'Kate Brewster']
who is moira in x men?	[u'Olivia Williams', u'Rose Byrne']	[u'Australia', u'Translator fictional character from the 2000 film X-Men, portrayed by Jay Yoo', u'German Soldier fictional character from the 2000 film X-Men, portrayed by Joey Purpura', u'German Soldier fictional character from the 2000 film X-Men, portrayed by Andy Grote', u'Elizabeth McGovern']
who plays simon birch?	[u'Ian Michael Smith']	[u'United States dollar', u'Ian Michael Smith', u'Simon Birch']
who do pagans worship?	[u'Odin']	[]
who plays donna noble?	[u'Catherine Tate']	[u'Jivai Chowdry', u'H. C. Clements', u'office temp-worker', u'Lee McAvoy', u'The Unicorn and the Wasp', u'Planet of the Ood']
who owns mazda canada?	[u'Ford Motor Company']	[u'Mexico']
what was lucille ball?	[u'Singer', u'Model', u'Comedian', u'Television Producer', u'Actor']	[u'Scottish American', u'Irish American', u'French American']
what was robert burns?	[u'Poet', u'Writer', u'Bard', u'Author']	[u'The national Burns', u'Hunting Asteroids', u'Two glossaries', u'Immunochemical Protocols', u'Sylvander and Clarinda', u'John Steinbeck', u'Charlotte Bront\xeb', u'Scotland', u'Bard', u'Romanticism', u'poet', u'In January, 1796, after falling asleep in the open air on his way home from a long night at the tavern, he suffered a bad attack of rheumatic fever.', u'Person']
when was john paul ii?	[u'10/16/1978']	[u'Presidential Medal of Freedom', u'Spiritual PilgrimageL Texts on Jews and Judaism, 1979-1995', u'Veritatis Splendor', u'Canada', u'Chronic dobro =', u'The Hereafter', u'Evangelium vitae', u"Pope John Paul II's New Mysteries of the Rosary", u"Ouvrez vos portes au Redempteur: Pelerinage de Jean-Paul II a Lourdes, fete de l'Assomption 14 et 15 aout 1983", u'Sessualita e amore', u'Jean Paul II au Canada', u'Roman Triptych', u'Redemptor Hominis', u'Memory and Identity', u'The President, the Pope, and the Prime Minister: Three Who Changed the World', u'New Hyperion or Liberty, Equality, Brotherhood', u'John Paul II Vol 4: 1996-1999: Towards the Third Millennium', u'Pope John Paul II: Celebration of the Great Jubilee', u'John Paul II: A Saint for Our Times', u'Pope John Paul II: Story of a Holy Life', u'Pope John Paul II: Ambassador of Peace', u'ABC News Presents: Pope John Paul II: His Life and Legacy', u'Him/Herself', u'Children', u"Parkinson's disease", u'The Rosary', u'Cercate ii Suo volto', u'Padre, ti chiediamo perdono', u'Roman Catholic Archdiocese for the Military Services, USA', u"Parkinson's disease", u'Myocardial infarction', u'Doctor of Sacred Theology', u'Pontifical University of St. Thomas Aquinas', u'Poles', u'Poland', u'Vatican City', u'Emilia Kaczorowska', u'Wadowice', u'Writer', u'Philosopher', u'Catholicism', u'A War on Science', u"Communism's Heroes Part III", u'Sustainability', u'Pope John Paul II assassination attempt', u'Pope John Paul II assassination attempt', u'United States of America', u'Illegal drug trade', u'United States of America', u'Muncie', u'Race car driver', u'A Countess from Hong Kong', u'England']
who were mary shelley?	[u'Author']	[u"Robert Andrew Parker's illustrated Frankenstein", u'Matilda, dramas, reviews & essays, prefaces & notes', u'Lives of eminent literary and scientific men of Italy', u'Elsa Lanchester', u'Esther Mulligan', u'Conceiving Ada', u'Bride of Frankenstein', u'Johann Wolfgang von Goethe', u'Percy Bysshe Shelley']
where is the un based?	[u'New York City']	[u'Brazil', u'India', u'Netherlands', u'Norway', u'Poland', u'United Kingdom', u'United States of America', u'Mexico', u'Australia', u'Canada', u'France', u'Argentina', u'Denmark', u'Dominican Republic', u'Guatemala', u'Iraq', u'Bolivia', u'Ethiopia', u'Colombia', u'Saudi Arabia', u'Turkey', u'Egypt', u'Greece', u'Venezuela', u'Yugoslavia', u'New Zealand', u'Cuba', u'Ecuador', u'Honduras', u'Liberia', u'Republic of China', u'Union of South Africa', u'Commonwealth of the Philippines', u'United States of America', u'6000 United Nations', u'United Nations', u'Brazil', u'Japan', u'Italy', u'India', u'Russia', u'United Kingdom', u'United States of America', u'Mexico', u'China', u'Canada', u'South Africa', u'Argentina', u'Central African Republic', u'Estonia', u'German Democratic Republic', u'North Korea', u'Slovenia', u'Federated States of Micronesia', u'Colombia', u'Socialist Federal Republic of Yugoslavia', u'Saudi Arabia', u'Ireland', u'Latvia', u'Taiwan', u'Venezuela', u'Cuba', u'South Korea', u'Bahamas', u'Ecuador', u'Iceland', u'Republic of Macedonia', u'United Arab Emirates', u'Bahrain', u'Qatar', u'United Arab Republic', u'Yemen Arab Republic', u'thadguidry', u'English Language', u'French Language', u'Russian Language', u'Spanish Language', u'Arabic Language', u'Chinese language']
who is thor heyerdahl?	[u'Film Director', u'Scientist', u'Cinematographer', u'Actor', u'Film Producer']	[]
who was wesley snipes?	[u'Film Producer', u'Martial artist', u'Actor']	[u'Jada Pinkett Smith', u'Fiorello H. LaGuardia High School']
what language tunisia?	[u'French Language', u'Arabic Language']	[u'Sovereign state', u'Earth', u'Location Tunisia', u'Prime minister', u'President of Tunisia', u'Parliament of Tunisia', u'Tunisian dinar', u'Republic', u'Unitary state', u'Algeria', u'Libya', u'Africa', u'Arab world', u'Maghreb', u'Tunis\u2013Carthage International Airport', u'Kerkennah Islands', u'Africa Proconsularis', u'Sfax\u2013Thyna International Airport', u'Sfax Archaeological Museum', u'Hammamet, Tunisia', u'Gab\xe8s - Matmata International Airport', u'Nafta, Tunisia', u'Matmata, Tunisia', u'Utica, Tunisia', u'Gafsa Archaeological Museum', u'Gafsa - Ksar International Airport', u'Sousse Governorate', u'Sousse Archaeological Museum', u'Carthage National Museum', u'Tunis University', u'Sidi Toui National Park', u'Djerba\u2013Zarzis International Airport', u'Kairouan Governorate', u'Sened, Tunisia', u'Tozeur Governorate', u'Tozeur\u2013Nefta International Airport', u'El Djem Archaeological Museum', u'Oceanographic Museum of Salammbo', u'Island Heritage Museum', u'Bardo National Museum', u'Gulf of Gab\xe8s', u'Governorates of Tunisia', u'Zaafrane, Tunisia', u'Hammam Sousse', u'Tunisia Campaign', u'French conquest of Tunisia', u'Tunisian independence', u'Tunisia Republic Day', u'Ofer Lellouche', u'United Nations', u'Tunisia', u'French Language', u'Arabic Language', u'Pirates', u'Tunisian Communist Party', u'Tunisian Pirate Party', u'Congress for the Republic', u'Democratic Forum for Labour and Liberties', u'Tunisia national football team', u'Tunisian', u'\ud280\ub2c8\uc9c0', u'Arabic Language', u'Flag of Tunisia', u'Africa', u'Tunisian franc', u'Portugal', u'Sousse Governorate', u'Kairouan Governorate', u'Tozeur Governorate', u'United States dollar', u'2008 Summer Olympics', u'Euro', u'How \u201cBaby Einstein\u201d Methods Compare to the Real Einstein', u'Language', u'Languages', u'Word list of the Dutch language', u'Language']
who plays juni cortez?	[u'Daryl Sabara']	[u'Carmen Cortez']
who is angelina jolie?	[u'Actor']	[u'Brad Pitt', u'Brad Pitt', u'Jonny Lee Miller', u'Brad Pitt', u'George Clooney', u'Jonny Lee Miller', u'Barack Obama', u'Brad Pitt', u'Jenny Shimizu', u'Sky Captain and the World of Tomorrow', u'New York University', u'Beverly Hills High School', u'Billy Bob Thornton', u'Brad Pitt', u'Jonny Lee Miller', u'Philip Seymour Hoffman', u'Jennifer Aniston', u'Stuart Townsend', u'New York City', u'Las Vegas', u'Paris', u'Greece', u'The Hamptons', u'Dubai', u'Cambodia', u'Brad Pitt', u'Jennifer Aniston', u'Brad Pitt', u'Jennifer Aniston', u'Brad Pitt', u'Jennifer Aniston', u'Jennifer Aniston', u'Diane Kruger', u'Brad Pitt', u'Brad Pitt']
what did dr. seuss do?	[u'Writer']	[u'Theodor Seuss Geisel', u'Lorax', u'Lorax', u'The Lorax', u'Hop on Pop', u'The Lorax', u'Daisy-Head Mayzie', u'The Butter Battle Book', u'Thidwick the Big-Hearted Moose', u"McElligot's Pool", u'Gerald McBoing-Boing', u'Hop on Pop', u'The Lorax Pop-Up!', u'Geisel', u'Theodor Seuss Geisel', u'Ted Geisel NYWTS 2 crop', u'The Lorax', u'Gerald McBoing Boing on Planet Moo', u'In Search of Dr. Seuss', u'Horton Hears a Who!', u'The Butter Battle Book', u'The Big Fun Carnival', u'Dr. Seuss on the Loose', u'In Search of Dr. Seuss', u'Rumors', u'Halloween Is Grinch Night', u'Spies', u'Pontoffel Pock, Where Are You?', u'Dr. Seuss on the Loose', u'The Butter Battle Book', u'Throat Cancer', u'1991-09-24', u'1904-03-02', u'White American', u'1.8', u'United States of America', u'Henrietta Seuss Geisel', u'Springfield', u'Film Producer', u'Poet', u'Writer', u'Screenwriter', u'Songwriter', u'Cartoonist', u'Artist', u'Animator', u'Lutheranism', u'Geisel Library', u'Producer', u'World War II', u'Sam-I-Am', u'Grinch', u'The Lorax', u'Rumors', u'Halloween Is Grinch Night', u'Spies', u'Our Job in Japan', u'The 5,000 Fingers of Dr. T', u'Pontoffel Pock, Where Are You?', u'The Butter Battle Book', u'Going Home', u'The Lorax', u'Dr. Seuss on the Loose', u'Your Job in Germany']
who is moira en x men?	[u'Mutant']	[u'Elizabeth McGovern']
who is jacob latimore?	[u'Singer', u'Actor']	[]
who wrote st trinians?	[u'Ronald Searle']	[u'United States dollar', u'United States dollar']
